FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;370.87;EUR;20070727
FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;141.3;EUR;20070727
FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;138.55;EUR;20070727
FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;332;EUR;20070727
FRA;2007;1;C11413    ;C040021   ;511;6141002000;640618;0;   ;82.78;EUR;20070727
FRA;2007;1;C11045M   ;C040023   ;421;6001101000;0;1;ST ;1370;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;322;6001101000;0;5;ST ;600;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;322;6001101000;0;0;   ;-13.76;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;322;6120000000;0;0.7;ST ;280000;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;322;6120000000;0;0;   ;133.33;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;322;6120000000;0;0;   ;133.33;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;402;6001000000;0;1;ST ;600;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;421;6001101000;0;1;LE ;30;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;421;6001101000;0;1;ST ;180;EUR;20070727
FRA;2007;1;C11412L   ;C041010   ;421;6122001000;0;0;   ;-2117.11;EUR;20070727
FRA;2007;1;C11412L   ;C041010   ;421;6122001000;0;0;   ;-35.98;EUR;20070727
FRA;2007;1;C11045G   ;C041010   ;421;6144007000;0;0;   ;88.62;EUR;20070727
FRA;2007;1;C11045G   ;C041010   ;422;6144007000;0;0;   ;548.44;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;431;6001101000;0;32;ST ;46.63;EUR;20070727
FRA;2007;1;C11046C   ;C041010   ;431;6141003000;0;0;   ;87.5;EUR;20070727
FRA;2007;1;C11046C   ;C041010   ;431;6141002000;640701;0;   ;228.78;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;441;6001101000;0;70;ST ;110;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;441;6001101000;0;0;   ;0.01;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;441;6144007000;0;0;   ;98.35;EUR;20070727
FRA;2007;1;C11841    ;C041010   ;501;6141003000;0;0;   ;-232.76;EUR;20070727
FRA;2007;1;C11414    ;C041010   ;501;6144007000;0;0;   ;44.82;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6120000000;0;1;ST ;48200;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6120000000;0;0;   ;-20.2;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6122001000;0;1;ST ;1700;EUR;20070727
FRA;2007;1;C11045G   ;C041010   ;521;6141003000;0;0;   ;-239.94;EUR;20070727
FRA;2007;1;C11045G   ;C041010   ;521;6141003000;0;0;   ;151.49;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6143000100;0;0;   ;190;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6143000100;0;0;   ;137;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6143000100;0;0;   ;36.56;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6143000100;0;0;   ;130;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6143000100;0;0;   ;16.01;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;521;6143000100;0;0;   ;200.17;EUR;20070727
FRA;2007;1;C11045G   ;C041010   ;521;6144007000;0;0;   ;62.18;EUR;20070727
FRA;2007;1;C11412L   ;C041010   ;522;6020107000;0;0;   ;602;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;531;6001000000;0;1;ST ;550;EUR;20070727
FRA;2007;1;C11046I   ;C041010   ;531;6141003000;0;0;   ;32.5;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;531;6143000100;0;0;   ;180;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;531;6143000100;0;0;   ;260;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;531;6143000100;0;0;   ;70;EUR;20070727
FRA;2007;1;C11046I   ;C041010   ;531;6141002000;640846;0;   ;39.8;EUR;20070727
FRA;2007;1;C11046I   ;C041010   ;531;6141002000;640846;0;   ;276.69;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;601;6144007000;0;0;   ;35.63;EUR;20070727
FRA;2007;1;C11314    ;C041010   ;611;6141003000;0;0;   ;100;EUR;20070727
FRA;2007;1;C11414    ;C041010   ;611;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;1;C11414    ;C041010   ;611;6141003000;0;0;   ;81.25;EUR;20070727
FRA;2007;1;C11413    ;C041010   ;611;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;1;C11413    ;C041010   ;611;6141003000;0;0;   ;144.37;EUR;20070727
FRA;2007;1;C11414    ;C041010   ;611;6141003000;0;0;   ;96.42;EUR;20070727
FRA;2007;1;C11314    ;C041010   ;611;6141002000;634434;0;   ;465.39;EUR;20070727
FRA;2007;1;C11314    ;C041010   ;611;6141002000;634434;0;   ;38.8;EUR;20070727
FRA;2007;1;C11413    ;C041010   ;611;6141002000;640411;0;   ;82.48;EUR;20070727
FRA;2007;1;C11414    ;C041010   ;611;6141002000;640600;0;   ;189.58;EUR;20070727
FRA;2007;1;C11414    ;C041010   ;611;6141002000;640600;0;   ;68.9;EUR;20070727
FRA;2007;1;C11046P   ;C041010   ;631;6141003000;0;0;   ;48.75;EUR;20070727
FRA;2007;1;C11046P   ;C041010   ;631;6141002000;640275;0;   ;370.48;EUR;20070727
FRA;2007;1;C11046P   ;C041010   ;631;6141002000;640275;0;   ;72.89;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;641;6144007000;0;1;ST ;50.87;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;S07 ;6001000000;0;0.7;ST ;140000;EUR;20070727
FRA;2007;1;C11046C   ;C041010   ;S12 ;6144007000;0;0;   ;51.5;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;S33 ;6001000000;0;0.6;ST ;5479.8;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;S33 ;6001000000;0;0.6;ST ;6483.6;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;S33 ;6001000000;0;0.6;ST ;4623.6;EUR;20070727
FRA;2007;1;C11045M   ;C041010   ;S37 ;6001000000;0;1;ST ;25153;EUR;20070727
