FRA;2007;2;A71730    ;C041190   ;531;43A71730  ;640826;8;H  ;320;EUR;20070727
FRA;2007;2;A71050    ;C041191   ;S09 ;43A71050  ;631360;1;H  ;76.7;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631200;3;H  ;230.1;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631200;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631360;5;H  ;383.5;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631360;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631360;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631797;7;H  ;536.9;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631797;1;H  ;76.7;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631797;3;H  ;230.1;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;631797;7;H  ;536.9;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;635106;3;H  ;230.1;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;635106;3;H  ;230.1;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;635106;-3;H  ;-230.1;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;640964;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;640964;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050  ;640964;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688549;8;H  ;613.6;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688549;-9;H  ;-690.3;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688549;2.5;H  ;191.75;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688549;6;H  ;460.2;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688549;9;H  ;690.3;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688549;5;H  ;383.5;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688549;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688553;8;H  ;613.6;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688553;3;H  ;230.1;EUR;20070727
FRA;2007;2;A71050    ;C051081   ;331;43A71050-2;688553;2;H  ;153.4;EUR;20070727
FRA;2007;2;A71050    ;C940731   ;700;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;A71050    ;C940731   ;700;43A71050  ;635106;4;H  ;306.8;EUR;20070727
FRA;2007;2;C11315    ;A060009   ;0;6141002000;634528;0;   ;6.2;EUR;20070727
FRA;2007;2;C11410    ;A060017   ;0;6144007000;0;0;   ;180;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6001010000;0;1;LE ;6520;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6001010000;0;1;LE ;810;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6001010000;0;1;LE ;260;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6001010000;0;1;LE ;57.4;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6001010000;0;8;ST ;713.84;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6122001000;0;1;LE ;210;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6144007000;0;0;   ;-58.72;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6144007000;0;0;   ;68.08;EUR;20070727
FRA;2007;2;C11046C   ;A070001   ;0;6144007000;0;0;   ;547.23;EUR;20070727
FRA;2007;2;C11046A   ;A070002   ;0;6122001000;0;1;ST ;3354;EUR;20070727
FRA;2007;2;C11050    ;A070003   ;0;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;2;C11050    ;A070003   ;0;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11050    ;A070003   ;0;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;2;C11050    ;A070003   ;0;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11050    ;A070003   ;0;6141003000;0;0;   ;2021.12;EUR;20070727
FRA;2007;2;C11050    ;A070003   ;0;6141003000;0;0;   ;32.5;EUR;20070727
FRA;2007;2;C11046I   ;C010130   ;700;6141003000;0;0;   ;75;EUR;20070727
FRA;2007;2;C11046P   ;C010130   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11842    ;C010130   ;700;6141003000;0;0;   ;990.13;EUR;20070727
FRA;2007;2;C11046P   ;C010130   ;700;6141003000;0;0;   ;214.52;EUR;20070727
FRA;2007;2;C11412L   ;C010300   ;701;6144007000;0;0;   ;411.84;EUR;20070727
FRA;2007;2;C11413    ;C010642   ;411;6122001000;0;1;LOT;143.4;EUR;20070727
FRA;2007;2;C11413    ;C010642   ;411;6144007000;0;0;   ;145.83;EUR;20070727
FRA;2007;2;C11413    ;C010642   ;411;6141002000;630986;0;   ;151.89;EUR;20070727
FRA;2007;2;C11413    ;C010642   ;431;6141003000;0;0;   ;1816.66;EUR;20070727
