BRA;2012;11;CUR6000;C060053;700;10000000;357;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060053;631;10000000;301.221;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060053;631;10000000;6158;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060053;631;10000000;6290;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060053;700;10000000;6290;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060053;511;10000000;301151;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060053;611;10000000;300004;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060053;611;10000000;300535;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060053;611;10000000;301151;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060053;611;10000000;305;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060053;611;10000000;BRA194;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060053;611;10000000;BRA995;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060053;700;10000000;301151;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6500;C060053;501;10000000;304;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6500;C060053;601;10000000;304;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6500;C060053;700;10000000;304;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C060053;521;10000000;BRA269;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C060053;621;10000000;301.237;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C060053;621;10000000;BRA269;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C060053;700;10000000;BRA269;0.00;;0.00;BRL;20121107
JPN;2012;11;0221;C060053;621;10000000;0076;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060053;621;10000000;173;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060053;621;10000000;259;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060053;621;10000000;9034;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060053;700;10000000;9034;0.00;;0.00;JPY;20121107
KOR;2012;11;0664;C060053;622;10000000;20011;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060053;622;10000000;L0007;0.00;;0.00;KRW;20121107
BRA;2012;11;CUR6000;C060060;641;10000000;301098;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060060;611;10000000;BRA995;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060060;700;10000000;300535;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060060;700;10000000;305;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060060;700;10000000;BRA995;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6000;C060361;441;10000000;301098;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6000;C060361;541;10000000;301098;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6000;C060361;641;10000000;301098;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060361;431;10000000;6158;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060361;431;10000000;6290;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060361;531;10000000;301.221;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060361;531;10000000;6158;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060361;531;10000000;6290;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060361;631;10000000;301.221;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6100;C060361;631;10000000;6290;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;411;10000000;300004;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;411;10000000;300535;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;411;10000000;301151;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;411;10000000;305;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;411;10000000;BRA995;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;511;10000000;300004;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;511;10000000;300535;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;511;10000000;305;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;511;10000000;BRA995;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;611;10000000;300535;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;611;10000000;301151;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6200;C060361;611;10000000;BRA995;0.00;;0.00;BRL;20121107
